Story,Output Case,Case Type,Direction,Drift,Drift/,Label,X,Y,Z
SSL 38.00mPD 9th Floor,Dead,LinStatic,X,0.000078,1/12822,172,45,13.5,38
SSL 38.00mPD 9th Floor,Dead,LinStatic,Y,0.000076,1/13077,142,0,13.5,38
SSL 38.00mPD 9th Floor,Wind-X,LinStatic,X,0.000057,1/17428,174,60,67.5,38
SSL 38.00mPD 9th Floor,Dead Ceiling,LinStatic,X,0.000007,1/143664,172,45,13.5,38
SSL 38.00mPD 9th Floor,Dead Ceiling,LinStatic,Y,0.000008,1/131816,142,0,13.5,38
SSL 38.00mPD 9th Floor,Dead Services,LinStatic,X,0.000019,1/51308,172,45,13.5,38
SSL 38.00mPD 9th Floor,Dead Services,LinStatic,Y,0.000021,1/47077,142,0,13.5,38
SSL 38.00mPD 9th Floor,Dead Partition,LinStatic,X,0.000014,1/71832,172,45,13.5,38
SSL 38.00mPD 9th Floor,Dead Partition,LinStatic,Y,0.000015,1/65908,142,0,13.5,38
SSL 38.00mPD 9th Floor,Live Floor,LinStatic,X,0.000056,1/17958,172,45,13.5,38
SSL 38.00mPD 9th Floor,Live Floor,LinStatic,Y,0.000061,1/16477,142,0,13.5,38
SSL 38.00mPD 9th Floor,Live Roof,LinStatic,X,0.000004,1/285322,172,45,13.5,38
SSL 38.00mPD 9th Floor,Live Roof,LinStatic,Y,0.000003,1/384279,142,0,13.5,38
SSL 38.00mPD 9th Floor,Dead Finishing Roof,LinStatic,X,0.00001,1/102376,172,45,13.5,38
SSL 38.00mPD 9th Floor,Dead Finishing Roof,LinStatic,Y,0.000011,1/94003,142,0,13.5,38
SSL 38.00mPD 9th Floor,Dead Services Roof,LinStatic,X,0.000002,1/427983,172,45,13.5,38
SSL 38.00mPD 9th Floor,Dead Services Roof,LinStatic,Y,0.000002,1/576419,142,0,13.5,38
SSL 38.00mPD 9th Floor,Notional,LinStatic,Y,0.000011,1/88717,174,60,67.5,38
SSL 38.00mPD 9th Floor,Dead Topping,LinStatic,X,0.000002,1/427983,172,45,13.5,38
SSL 38.00mPD 9th Floor,Dead Topping,LinStatic,Y,0.000002,1/576419,142,0,13.5,38
SSL 38.00mPD 9th Floor,Dead Ceiling roof,LinStatic,X,0.000001,1/855966,172,45,13.5,38
SSL 38.00mPD 9th Floor,Dead Ceiling roof,LinStatic,Y,0.000001,1/0,142,0,13.5,38
SSL 38.00mPD 9th Floor,Cladding,LinStatic,X,0.000006,1/172084,172,45,13.5,38
SSL 38.00mPD 9th Floor,Cladding,LinStatic,Y,0.000004,1/227330,142,0,13.5,38
SSL 38.00mPD 9th Floor,Wind Y,LinStatic,Y,0.000062,1/16209,174,60,67.5,38
SSL 38.00mPD 9th Floor,1.35Gk + 1.50Qk +EHF,Combination,X,0.000278,1/3599,172,45,13.5,38
SSL 38.00mPD 9th Floor,1.35Gk + 1.50Qk +EHF,Combination,Y,0.000294,1/3402,142,0,13.5,38
SSL 38.00mPD 9th Floor,1.35Gk + 1.50Qk + 0.75WkX + EHF,Combination,X,0.000239,1/4189,172,45,13.5,38
SSL 38.00mPD 9th Floor,1.35Gk + 1.50Qk + 0.75WkX + EHF,Combination,Y,0.000293,1/3408,142,0,13.5,38
SSL 38.00mPD 9th Floor,1.35Gk + 1.05Qk + 1.50WkX + EHF,Combination,X,0.000173,1/5781,172,45,13.5,38
SSL 38.00mPD 9th Floor,1.35Gk + 1.05Qk + 1.50WkX + EHF,Combination,Y,0.000264,1/3781,142,0,13.5,38
SSL 38.00mPD 9th Floor,1.0Gk + 1.50WkY + EHF,Combination,X,0.000146,1/6849,172,45,13.5,38
SSL 38.00mPD 9th Floor,1.0Gk + 1.50WkY + EHF,Combination,Y,0.000086,1/11597,142,0,13.5,38
SSL 38.00mPD 9th Floor,1.0Gk + 1.50WkX + EHF,Combination,X,0.000062,1/16154,172,45,13.5,38
SSL 38.00mPD 9th Floor,1.0Gk + 1.50WkX + EHF,Combination,Y,0.000149,1/6709,142,0,13.5,38
SSL 38.00mPD 9th Floor,1.35Gk + 1.05Qk + 1.50WkY + EHF,Combination,X,0.000257,1/3890,172,45,13.5,38
SSL 38.00mPD 9th Floor,1.35Gk + 1.05Qk + 1.50WkY + EHF,Combination,Y,0.000202,1/4960,142,0,13.5,38
SSL 38.00mPD 9th Floor,1.35Gk + 1.50Qk + 0.75WkY + EHF,Combination,X,0.000281,1/3562,172,45,13.5,38
SSL 38.00mPD 9th Floor,1.35Gk + 1.50Qk + 0.75WkY + EHF,Combination,Y,0.000262,1/3817,142,0,13.5,38
SSL 38.00mPD 9th Floor,1.0Gk - 1.50WkX + EHF,Combination,X,0.000218,1/4580,172,45,13.5,38
SSL 38.00mPD 9th Floor,1.0Gk - 1.50WkX + EHF,Combination,Y,0.000151,1/6622,142,0,13.5,38
SSL 38.00mPD 9th Floor,1.0Gk - 1.50WkY + EHF,Combination,X,0.000134,1/7449,172,45,13.5,38
SSL 38.00mPD 9th Floor,1.0Gk - 1.50WkY + EHF,Combination,Y,0.000214,1/4676,142,0,13.5,38
SSL 38.00mPD 9th Floor,1.35Gk + 1.05Qk - 1.50WkX + EHF,Combination,X,0.000329,1/3036,172,45,13.5,38
SSL 38.00mPD 9th Floor,1.35Gk + 1.05Qk - 1.50WkX + EHF,Combination,Y,0.000266,1/3754,142,0,13.5,38
SSL 38.00mPD 9th Floor,1.35Gk + 1.05Qk - 1.50WkY + EHF,Combination,X,0.000245,1/4076,172,45,13.5,38
SSL 38.00mPD 9th Floor,1.35Gk + 1.05Qk - 1.50WkY + EHF,Combination,Y,0.000329,1/3037,142,0,13.5,38
SSL 38.00mPD 9th Floor,1.35Gk + 1.50Qk - 0.75WkX + EHF,Combination,X,0.000317,1/3155,172,45,13.5,38
SSL 38.00mPD 9th Floor,1.35Gk + 1.50Qk - 0.75WkX + EHF,Combination,Y,0.000294,1/3397,142,0,13.5,38
SSL 38.00mPD 9th Floor,1.35Gk + 1.50Qk - 0.75WkY + EHF,Combination,X,0.000275,1/3638,172,45,13.5,38
SSL 38.00mPD 9th Floor,1.35Gk + 1.50Qk - 0.75WkY + EHF,Combination,Y,0.000326,1/3069,142,0,13.5,38
SSL 38.00mPD 9th Floor,DCmpD1,Combination,X,0.00014,1/7154,172,45,13.5,38
SSL 38.00mPD 9th Floor,DCmpD1,Combination,Y,0.00014,1/7151,142,0,13.5,38
SSL 38.00mPD 9th Floor,DCmpD2,Combination,X,0.000199,1/5026,172,45,13.5,38
SSL 38.00mPD 9th Floor,DCmpD2,Combination,Y,0.000203,1/4923,142,0,13.5,38
SSL 38.00mPD 9th Floor,DCmpC1,Combination,X,0.00021,1/4769,172,45,13.5,38
SSL 38.00mPD 9th Floor,DCmpC1,Combination,Y,0.00021,1/4767,142,0,13.5,38
SSL 38.00mPD 9th Floor,DCmpC2,Combination,X,0.00021,1/4769,172,45,13.5,38
SSL 38.00mPD 9th Floor,DCmpC2,Combination,Y,0.00021,1/4767,142,0,13.5,38
SSL 38.00mPD 9th Floor,DCmpS1,Combination,X,0.000189,1/5299,172,45,13.5,38
SSL 38.00mPD 9th Floor,DCmpS1,Combination,Y,0.000189,1/5297,142,0,13.5,38
SSL 38.00mPD 9th Floor,DCmpS2,Combination,X,0.000251,1/3986,172,45,13.5,38
SSL 38.00mPD 9th Floor,DCmpS2,Combination,Y,0.000255,1/3918,142,0,13.5,38
SSL 38.00mPD 9th Floor,DCmpS3,Combination,X,0.00016,1/6234,172,45,13.5,38
SSL 38.00mPD 9th Floor,DCmpS3,Combination,Y,0.00016,1/6232,142,0,13.5,38
SSL 38.00mPD 9th Floor,DCmpS4,Combination,X,0.000249,1/4013,172,45,13.5,38
SSL 38.00mPD 9th Floor,DCmpS4,Combination,Y,0.000255,1/3915,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS1,Combination,X,0.000189,1/5299,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS1,Combination,Y,0.000189,1/5297,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS2,Combination,X,0.000251,1/3986,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS2,Combination,Y,0.000255,1/3918,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS3,Combination,X,0.000212,1/4723,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS3,Combination,Y,0.000255,1/3925,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS4,Combination,X,0.00029,1/3449,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS4,Combination,Y,0.000256,1/3910,142,0,13.5,38
SSL 38.00mPD 9th Floor,DStlS5,Combination,X,0.000254,1/3940,172,45,13.5,38
SSL 38.00mPD 9th Floor,DStlS5,Combination,Y,0.000223,1/4477,142,0,13.5,38
